playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Robbie Erlin,SD,NL,40,20,6,8,0,0,0,0,0,116,122,0,54,16,23,93,572362,10354,12,27,SP
Kelvin Herrera,CWS,AL,27,0,2,3,0,0,0,0,0,56,54,0,24,8,16,53,516969,6033,0,27,RP
Adam Kolarek,TB,AL,31,0,2,2,0,0,0,0,0,40,39,0,17,3,15,32,592473,10843,0,31,RP
Framber Valdez,HOU,AL,8,10,4,3,0,0,0,0,0,54,52,0,25,6,24,52,664285,17295,5,3,Relief Pitcher
Jose Quintana,CHC,NL,32,31,12,10,0,0,0,0,0,179,169,0,78,22,61,171,500779,11423,32,0,SP
Adam Cimber,CLE,AL,28,0,3,4,0,0,0,0,0,61,62,0,27,8,15,48,643256,15288,0,28,RP
J.A. Happ,NYY,AL,11,29,13,8,0,0,0,0,0,166,153,0,72,24,52,169,457918,7410,11,0,SP|RP
Steven Okert,SF,NL,10,0,0,0,0,0,0,0,0,12,11,0,5,1,4,13,595345,13580,0,10,RP
Anthony Swarzak,SEA,NL,29,0,2,3,0,0,0,0,0,58,54,0,26,8,19,62,461872,7466,0,29,Designated Hitter
Bobby Wahl,MIL,NL,7,0,1,0,0,0,0,0,0,6,5,0,3,1,3,8,592833,14832,0,7,RP
Sonny Gray,CIN,AL,30,29,10,10,0,0,0,0,0,156,146,0,70,18,59,148,543243,12768,23,7,Closer
Kyle Barraclough,WSH,NL,61,0,3,3,0,0,0,0,0,59,50,0,26,6,34,67,607457,13713,0,61,RP
Blaine Hardy,DET,AL,30,1,3,3,0,0,0,0,0,70,68,0,30,9,20,59,543278,6499,13,17,Closer
A.J. Puk,,,4,4,1,1,0,0,0,0,0,22,21,0,10,2,9,22,,sa738675,0,0,
Victor Arano,PHI,NL,60,0,1,1,0,0,0,0,0,39,36,0,16,6,13,41,644364,15915,0,60,RP
Yu Darvish,CHC,NL,8,25,9,8,0,0,0,0,0,141,124,0,60,19,51,162,506433,13074,8,0,Relief Pitcher
Greg Holland,ARI,NL,32,0,2,3,0,0,0,0,0,49,45,0,23,5,27,53,518813,7196,0,32,RP
Seung Hwan Oh,COL,NL,25,0,3,3,0,0,0,0,0,62,57,0,27,10,17,67,493200,18719,0,25,RP
Derek Law,SF,NL,7,0,1,0,0,0,0,0,0,12,11,0,6,1,4,10,571882,13133,0,7,RP
Mike Mayers,STL,NL,50,0,1,1,0,0,0,0,0,22,22,0,11,3,7,20,594577,15451,0,50,RP|SP
Madison Bumgarner,SF,NL,22,29,11,11,0,0,0,0,0,183,173,0,76,24,51,163,518516,5524,21,0,SP
Pablo Lopez,MIA,NL,12,11,3,4,0,0,0,0,0,61,61,0,27,8,16,50,641154,17085,10,0,SP
Brent Honeywell,TB,,10,10,4,3,0,0,0,0,0,55,53,0,26,8,17,54,641703,sa828706,0,0,SP
Dakota Hudson,STL,NL,26,3,4,3,0,0,0,0,0,66,65,0,27,5,28,49,641712,19206,0,26,RP
Jim Johnson,LAA,AL,62,0,2,2,0,0,0,0,0,26,27,0,12,3,9,21,462382,3656,1,61,RP
Freddy Peralta,MIL,NL,16,16,6,6,0,0,0,0,0,84,68,0,39,11,43,103,642547,18679,14,2,SP
Alex Wilson,DET,AL,59,0,1,1,0,0,0,0,0,35,34,0,16,4,9,26,543935,9239,0,59,RP
Drew Smith,NYM,NL,27,0,3,2,0,0,0,0,0,40,40,0,18,4,15,32,622098,17755,0,27,RP
Andrew Triggs,OAK,AL,9,4,1,1,0,0,0,0,0,21,21,0,11,2,7,19,592811,13533,9,0,SP|RP
