playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Tyler Glasnow,PIT,NL,18,13,4,4,0,0,0,0,0,69,59,0,31,8,36,81,607192,14374,13,2,SP
Michael Wacha,STL,NL,30,29,11,9,0,0,0,0,0,167,163,0,74,20,55,156,608379,14078,30,0,SP
Luiz Gohara,ATL,NL,5,23,8,8,0,0,0,0,0,130,116,0,55,15,55,137,627894,15166,5,0,
Mychal Givens,BAL,AL,69,0,3,2,0,0,0,0,0,55,48,0,24,7,21,63,571710,10430,0,69,RP
Tyler Duffey,MIN,AL,56,0,2,1,0,0,0,0,0,30,30,0,13,4,8,27,608648,13758,0,56,SP
Joakim Soria,CWS,AL,59,0,3,3,0,0,0,0,0,65,59,0,28,8,25,67,465657,6941,0,59,RP
Clay Holmes,PIT,,10,0,0,0,0,0,0,0,0,10,10,0,4,1,5,9,605280,sa598167,0,0,SP
Josh Lucas,STL,NL,5,0,1,1,0,0,0,0,0,15,14,0,7,2,5,14,572998,11686,0,5,
Taylor Williams,MIL,NL,5,0,1,1,0,0,0,0,0,20,18,0,9,2,9,22,592865,14899,0,5,SP
Ryne Stanek,TB,AL,21,0,2,2,0,0,0,0,0,35,30,0,15,4,16,39,592773,15947,0,21,RP
Jose Alvarado,TB,AL,35,0,1,1,0,0,0,0,0,30,24,0,12,3,18,35,621237,17780,0,35,RP
Matt Carasiti,CHC,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,571539,13276,0,0,RP
Matt Barnes,BOS,AL,70,0,3,2,0,0,0,0,0,55,50,0,24,6,23,58,598264,12863,0,70,RP
John Gant,STL,NL,7,2,2,2,0,0,0,0,0,39,37,0,17,5,13,38,607231,13684,2,5,SP
Luis Castillo,CIN,NL,15,24,9,8,0,0,0,0,0,144,134,0,62,19,47,143,622491,15689,15,0,SP
Reyes Moronta,SF,NL,7,0,1,1,0,0,0,0,0,15,13,0,6,2,8,17,606625,14966,0,7,
Craig Stammen,SD,NL,60,0,3,3,0,0,0,0,0,55,54,0,24,6,19,49,489334,7274,0,60,RP
Mike Zagurski,NYY,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,489448,9683,0,0,RP
Tom Koehler,LAD,NL,12,0,1,0,0,0,0,0,0,10,9,0,4,1,3,10,543408,6570,12,0,SP
Pierce Johnson,SF,NL,1,0,1,0,0,0,0,0,0,10,9,0,4,1,5,11,572955,13435,0,1,RP
Hunter Strickland,SF,NL,68,0,3,3,0,0,0,0,0,55,51,0,24,6,21,52,519326,7836,0,68,RP
David Paulino,HOU,AL,6,0,1,0,0,0,0,0,0,10,9,0,4,1,3,11,600944,17418,6,0,RP
Zach Putnam,CWS,AL,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,474029,9080,0,7,RP
Mike Kickham,TEX,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,592464,11618,0,0,RP
Andrew Kittredge,TB,AL,15,0,3,3,0,0,0,0,0,55,50,0,23,7,19,54,552640,12828,0,15,
Esmil Rogers,NYY,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,469134,6317,0,0,RP|SP
