playerName,team,league,G,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,mlbamID,playerid,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos
Luke Voit,STL,NL,62,258,66,10,2,10,32,34,21,63,5,0,0,572228,14811,0,31,0,0,0,0,0,0,0,1B
Salvador Perez,KC,AL,129,544,147,24,1,25,68,77,21,111,6,0,0,521692,7304,115,0,0,0,0,0,0,0,0,C
Rougned Odor,TEX,AL,162,571,143,25,5,28,76,80,32,133,9,15,5,596059,12282,0,0,158,0,0,0,0,0,0,2B
Guillermo Heredia,SEA,AL,123,302,82,15,1,5,42,38,26,50,9,4,2,628338,18721,0,0,0,0,0,62,63,1,117,LF
Josh Harrison,PIT,NL,128,562,156,28,4,11,59,59,31,92,14,14,4,543281,8202,0,0,83,49,0,8,0,1,9,2B
Jason Heyward,CHC,NL,126,483,127,22,3,11,53,58,50,74,3,11,2,518792,4940,0,0,0,0,0,0,13,120,124,RF
Albert Almora Jr.,CHC,NL,132,493,141,26,3,10,50,54,28,85,2,3,1,546991,14109,0,0,0,0,0,1,104,1,105,CF
Mitch Garver,MIN,AL,23,190,47,9,0,5,25,25,25,55,2,1,0,641598,15161,13,3,0,0,0,2,0,0,2,
Tim Anderson,CWS,AL,146,584,159,31,9,16,62,68,20,150,4,19,4,641313,15172,0,0,0,0,145,0,0,0,0,SS
Nick Markakis,ATL,NL,160,554,150,32,1,8,55,63,62,103,4,1,1,455976,5930,0,0,0,0,0,0,0,156,156,RF
Tyler Wade,NYY,AL,30,223,58,9,3,4,31,28,22,57,2,12,3,642180,15730,0,0,15,0,7,5,0,2,7,SS
Brandon Crawford,SF,NL,144,552,141,33,5,14,60,65,55,116,6,5,2,543063,5343,0,0,0,0,138,0,0,0,0,SS
Troy Tulowitzki,TOR,AL,66,429,110,20,0,15,50,53,35,79,4,1,0,453064,3531,0,0,0,0,64,0,0,0,0,SS
Chase Headley,SD,AL,147,426,111,18,1,9,45,49,46,103,5,4,1,452104,4720,0,45,1,86,0,0,0,0,0,3B
Starlin Castro,MIA,AL,112,588,165,23,1,18,61,70,26,115,4,5,2,516770,4579,0,0,109,0,0,0,0,0,0,2B
Jorge Alfaro,PHI,NL,29,408,102,21,2,16,52,54,20,127,10,2,1,595751,12180,28,2,0,0,0,0,0,0,0,C
Jose Bautista,TOR,AL,157,344,78,12,1,14,43,46,48,97,3,2,1,430832,1887,0,1,0,8,0,0,0,143,143,RF
Albert Pujols,LAA,AL,149,485,124,17,0,22,61,67,36,77,3,3,1,405395,1177,0,6,0,0,0,0,0,0,0,1B
Jacoby Ellsbury,NYY,AL,112,349,92,17,3,5,39,40,35,59,4,17,4,453056,4727,0,0,0,0,0,0,97,0,97,CF
Yadier Molina,STL,NL,136,481,133,25,1,12,50,53,29,67,3,4,1,425877,7007,133,1,0,0,0,0,0,0,0,C
Andrelton Simmons,LAA,AL,158,570,156,29,2,11,57,64,43,58,4,15,3,592743,10847,0,0,0,0,158,0,0,0,0,SS
Kevin Pillar,TOR,AL,154,504,133,33,2,13,63,61,26,84,6,16,4,607680,12434,0,0,0,0,0,0,153,0,153,LF
Ezequiel Carrera,TOR,AL,131,324,89,9,1,4,38,37,32,85,4,6,1,485567,9048,0,0,0,0,0,91,10,27,121,LF
Tucker Barnhart,CIN,NL,121,446,120,26,1,7,46,50,49,80,3,4,1,571466,10200,110,0,0,0,0,0,0,0,0,C
Mike Marjama,SEA,AL,5,149,37,9,1,4,21,19,11,31,3,0,0,605357,12594,5,0,0,0,0,0,0,0,0,
Eduardo Escobar,MIN,AL,129,418,107,18,3,13,49,52,31,86,3,4,2,500871,6153,1,0,9,79,16,2,0,0,2,SS
Dee Gordon,SEA,NL,158,650,195,20,9,2,74,47,32,94,5,57,13,543829,8203,0,0,153,0,3,0,0,0,0,2B
Amed Rosario,NYM,NL,46,539,143,22,9,11,53,59,34,140,5,25,7,642708,15518,0,0,0,0,45,0,0,0,0,SS
Carson Kelly,STL,NL,34,281,72,13,0,7,32,33,25,48,3,0,0,608348,13620,31,0,0,0,0,0,0,0,0,C
Alex Gordon,KC,AL,148,477,115,21,1,12,50,55,51,131,13,4,1,460086,5209,0,0,0,0,0,140,15,1,147,LF
Jake Marisnick,HOU,AL,106,316,76,14,2,11,44,41,23,91,5,12,3,545350,11339,0,0,0,0,0,6,93,3,102,LF
Jason Castro,MIN,AL,110,364,85,19,1,9,47,44,45,112,2,1,0,488771,8722,108,0,0,0,0,0,0,0,0,C
