playerName,teamLong,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Tyler Webb,Pirates,PIT,NL,20,0,1,1,0,0,0,0,0,20,19,0,8,2,7,20,,sa602910,0,0,
Tony Zych,Mariners,SEA,AL,12,0,1,1,0,0,0,0,0,25,22,0,10,3,9,27,543964,12876,0,12,RP
Zack Wheeler,Mets,NYM,NL,31,6,4,3,0,0,0,0,0,62,56,0,25,6,23,65,554430,10310,0,0,SP
John Holdzkom,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,458720,9392,0,0,RP
Dan Otero,Indians,CLE,AL,62,0,2,2,0,0,0,0,0,45,47,0,18,4,10,34,519096,7385,0,62,RP
Mike Broadway,Giants,SFG,NL,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,458678,9894,0,4,RP
Aaron Nola,Phillies,PHI,NL,20,28,10,10,0,0,0,0,0,166,161,0,68,18,44,157,605400,16149,20,0,SP
Brad Ziegler,Marlins,FLA,NL,36,0,3,3,0,0,0,0,0,55,56,0,21,3,20,42,446899,7293,0,36,RP
Paul Sewald,Mets,NYM,NL,15,0,1,1,0,0,0,0,0,15,14,0,6,2,5,16,,sa658150,0,0,
Sammy Solis,Nationals,WSN,NL,37,0,2,2,0,0,0,0,0,45,41,0,18,4,18,47,519301,11457,0,37,RP
Alex Wood,Dodgers,LAD,NL,15,16,7,6,0,0,0,0,0,114,108,0,44,12,35,107,622072,13781,10,4,SP
Erik Cordier,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,449170,4086,0,0,RP
Julio Urias,Dodgers,LAD,NL,18,18,7,5,0,0,0,0,0,96,85,0,37,10,34,100,628711,14765,15,3,SP
Boone Logan,Indians,CLE,AL,66,0,3,2,0,0,0,0,0,55,47,0,21,6,22,63,457429,5525,0,66,RP
Tiago Da Silva,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa795086,0,0,
Aaron Barrett,,,,10,0,1,0,0,0,0,0,0,10,9,0,4,1,4,11,502578,11243,0,0,RP
Dallas Keuchel,Astros,HOU,AL,26,31,13,9,0,0,0,0,0,201,199,0,79,19,56,167,572971,9434,26,0,SP|RP
Jose De Leon,Rays,TBD,AL,4,13,5,4,0,0,0,0,0,72,62,0,29,8,24,78,592254,15463,4,0,SP
A.J. Minter,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa659284,0,0,
Marcus Stroman,Blue Jays,TOR,AL,32,28,11,9,0,0,0,0,0,169,170,0,70,16,46,139,573186,13431,32,0,SP
Garrett Richards,Angels,ANA,AL,6,26,10,8,0,0,0,0,0,158,147,0,61,14,55,145,572070,9784,6,0,SP|RP
Chris Hatcher,Dodgers,LAD,NL,37,0,2,2,0,0,0,0,0,40,35,0,16,4,14,42,501822,3299,0,37,RP
Kyle Hendricks,Cubs,CHC,NL,32,29,12,9,0,0,0,0,0,174,167,0,70,18,45,156,543294,12049,30,1,SP
Jordan Walden,Cardinals,STL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,477229,3271,0,0,RP
Zach McAllister,Indians,CLE,AL,53,0,2,2,0,0,0,0,0,40,36,0,16,5,13,41,502083,2895,2,51,RP|SP
Spencer Patton,Cubs,CHC,NL,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,607359,12361,0,16,RP
Tony Watson,Pirates,PIT,NL,70,0,3,3,0,0,0,0,0,65,62,0,26,6,19,60,453265,3132,0,70,RP
Ian Thomas,Dodgers,LAD,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,621962,13881,0,0,RP
